px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.46292	0.243462	3.04035	0	0	8.46292	0.243462	8.6	0.25	-3.00029	0	6.95323e-310
8.44893	0.251376	1.36578	-0.0068847	2.9823e-05	8.44818	0.251553	8.45	0.25	-3.00027	0	0.00402009
8.47151	0.249398	0.49896	0.0103235	-0.000442309	8.56759	0.241943	8.45	0.25	0	0	0.13129
8.47319	0.249931	0.473179	-0.00219856	0.000432437	8.45582	0.253997	8.45	0.25	0	0	0.0261988
8.33942	0.249034	-1.35106	-0.0145569	0.00331215	8.42544	0.254042	8.35	0.25	-1.81979	0	7.19497
8.27	0.248822	-1.36695	-0.0130505	0.00407234	8.23962	0.24916	8.25	0.25	-1.81978	0	0.0609395
8.04132	0.203695	-2.25078	0.266146	0.143123	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994	24.5991
7.92208	0.172221	-2.28602	0.292542	0.139108	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993	0.411499
7.73437	0.266351	-2.58492	-0.140275	-0.471354	7.61269	0.155818	7.7	0.15	-2.99982	0	5.75174
7.596	0.217489	-2.63224	-0.0180136	-0.359732	7.54016	0.159641	7.55	0.15	-2.99982	0	0.503367
7.4955	0.218641	-2.43557	-0.0478948	-0.45502	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239	2.588
7.36065	0.129542	-2.44753	0.0949233	-0.221949	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823	0.829537
7.2029	0.0980049	-2.57936	0.0974004	-0.250883	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507	1.80054
7.06461	0.0190788	-2.58902	0.195613	-0.0420032	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499	0.452897
6.96276	-0.100387	-2.45028	0.422912	0.536714	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898	4.62212
6.8481	-0.201091	-2.46225	0.528085	0.681884	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897	0.263514
6.73845	-0.271349	-2.48202	0.556665	0.648675	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075	0.260447
6.63931	-0.37764	-2.50669	0.642836	0.73385	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075	0.471939
6.59915	-0.559892	-2.49346	0.971072	1.35244	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769	4.80483
6.53771	-0.661375	-2.48587	1.03793	1.35306	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769	0.0333569
6.49667	-0.825386	-2.52622	1.22641	1.56752	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498	1.00411
6.457	-0.976824	-2.55019	1.32652	1.57985	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494	0.321155
6.34745	-1.04049	-2.43594	1.17019	1.15213	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898	9.22626
6.2912	-1.18053	-2.46432	1.23416	1.14666	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896	0.334567
6.38064	-1.40441	-2.5791	1.58817	1.6042	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894	24.9726
6.38357	-1.56548	-2.61482	1.67765	1.60046	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891	0.473444
6.322	-1.64352	-2.4373	1.59349	1.34413	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985	13.3864
6.31036	-1.79792	-2.49832	1.65017	1.32466	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847	1.49645
6.35644	-1.96432	-2.61521	1.78135	1.41911	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994	4.42873
