px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
66.3243	23.9882	3.65471	0.283004	0.0516778	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655	0.665611
66.2172	23.9576	2.64911	0.303039	0.0355821	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	2.90608
68.2623	24.3607	2.61015	0.202687	-0.0504441	68.262	24.3582	68.4273	24.4824	2.30293	0.385623	0.0224534
68.3494	24.392	2.69531	0.206846	-0.0484752	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	1.98944
70.8194	24.8811	3.15572	0.233705	-0.000340053	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395	0.159135
70.7803	24.8658	2.5209	0.225436	-0.0312971	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395	0.642311
72.891	24.7193	2.56266	-0.156578	-0.251347	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	0.136062
72.9406	24.7358	2.56581	-0.159601	-0.264542	73.0732	25.0343	72.9675	25.025	2.13584	0.150292	0.68597
74.9999	25.2468	2.24677	0.338849	0.210007	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626	0.742761
74.986	25.244	2.18384	0.335773	0.209256	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626	0.0391583
77.1133	24.946	2.34658	-0.409562	-0.385806	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978	0.992441
77.1373	24.9526	2.31312	-0.431017	-0.415048	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978	0.1801
79.0997	25.0169	1.78432	0.0806066	0.179425	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607	1.45663
79.1167	25.016	1.87836	0.095377	0.197516	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607	0.0545954
80.8035	24.8749	2.09952	-0.0299388	-0.00356415	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536	0.134005
80.8503	24.882	1.82458	-0.0800222	-0.0883348	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536	1.21282
82.6103	24.6371	2.40562	-0.0852946	-0.0351146	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012	0.189241
82.5678	24.6206	1.99376	-0.196574	-0.230819	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012	0.732474
84.1683	24.5427	2.05195	-0.00237623	0.0263226	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444	0.226373
84.1586	24.5462	1.83175	-0.033239	-0.0401063	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444	0.265502
85.6375	23.8173	1.95477	-0.528432	-0.316236	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006	0.227216
85.6943	23.8314	2.02978	-0.522198	-0.323197	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006	0.851956
86.9456	23.5106	1.22806	-0.290294	0.0059048	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654	0.675008
87.0681	23.5437	1.37196	-0.226981	0.0469718	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654	3.76764
88.8011	22.794	2.6458	-0.429946	-0.105822	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514	0.824133
88.7135	22.7518	2.36997	-0.684696	-0.437303	88.4191	22.9498	88.4904	22.9745	1.23248	-0.450514	1.47201
89.514	22.2808	0.425235	-0.726325	-0.225734	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904	1.81289
89.6227	22.2549	0.967755	-0.622746	-0.0456796	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904	2.83072
90.498	21.6636	1.48754	-0.431681	0.1041	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241	0.219759
90.5661	21.6794	1.50499	-0.398696	0.0830207	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241	1.78413
91.7123	21.1139	1.73158	-0.239695	0.127232	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488964	0.0377598
91.7413	21.1276	1.49791	-0.412629	-0.134973	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488964	2.67438
92.8542	20.9427	1.43605	-0.0799379	0.143456	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443	0.264086
92.9041	20.9711	1.18467	-0.0426835	0.0977763	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443	2.75869
93.482	20.242	0.575846	-0.765735	-0.390958	93.4668	20.2155	93.9011	20.513	0.92369	-0.495919	0.984832
93.5778	20.2834	1.05955	-0.551112	-0.122756	93.7423	20.5071	93.9011	20.513	0.92369	-0.495919	1.93435
95.2757	19.6479	2.85104	0.114279	0.342027	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439	2.42646
95.037	19.6563	1.63907	0.0235973	0.208407	94.494	19.8854	94.8209	20.01	0.893308	-0.497439	9.974
95.5205	19.7018	0.718047	0.242362	0.213123	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816	0.492572
95.5363	19.7042	0.831893	0.243745	0.214362	95.6097	19.5804	95.7116	19.5078	0.87398	-0.498816	0.0540186
96.2516	19.2132	0.74843	-0.862823	-0.55381	96.2641	19.1597	96.5842	19.0065	0.865773	-0.500589	1.88611
96.3041	19.2491	1.04977	-0.644446	-0.333551	96.559	18.8688	96.5842	19.0065	0.865773	-0.500589	0.871895
97.4938	18.7132	1.97867	-0.190583	0.118515	97.5286	18.727	97.45	18.506	0.868716	-0.503009	1.26796
97.4048	18.7179	1.54029	-0.367626	-0.17865	97.5333	18.1735	97.45	18.506	0.868716	-0.503009	1.6883
98.2142	18.3681	1.17376	-0.3139	-0.051011	98.2105	18.3739	98.3198	18.0049	0.882805	-0.506023	0.0965208
98.2281	18.3759	1.06641	-0.357726	-0.121878	98.4162	18.1556	98.3198	18.0049	0.882805	-0.506023	0.369897
99.0368	17.3773	1.55464	-1.11813	-0.491118	99.0363	17.357	99.2049	17.503	0.908006	-0.509278	0.531114
99.0471	17.4157	1.51628	-0.755916	-0.0491522	98.9782	17.2949	99.2049	17.503	0.908006	-0.509278	0.770395
99.9835	16.9645	0.981282	-0.406691	0.19156	99.9969	16.9882	100.117	17.0001	0.944242	-0.512134	0.638611
100.065	16.9783	1.04381	-0.346439	0.224088	100.441	16.9521	100.117	17.0001	0.944242	-0.512134	1.8161
101.191	16.537	1.72119	-0.129743	0.218502	101.204	16.5368	101.065	16.497	0.991362	-0.513687	0.224039
101.142	16.5265	1.35972	-0.273394	0.0454875	101.169	16.4353	101.065	16.497	0.991362	-0.513687	0.722394
102.375	16.3923	1.8015	0.112417	0.23825	102.387	16.3992	102.063	15.9949	1.04911	-0.512803	0.230424
102.273	16.3846	1.25162	0.107245	0.224372	102.081	15.8359	102.063	15.9949	1.04911	-0.512803	1.88892
103.011	15.397	0.66684	-1.14106	-0.634983	103.003	15.353	103.119	15.4967	1.11708	-0.508169	2.38142
102.976	15.4604	1.23383	-0.600031	0.013013	102.776	15.1195	103.119	15.4967	1.11708	-0.508169	3.86885
104.093	15.2505	1.46099	0.119093	0.430723	104.114	15.2708	104.244	15.0064	1.19469	-0.498349	0.789279
104.04	15.2453	1.32646	0.0832362	0.410015	103.905	14.7607	104.244	15.0064	1.19469	-0.498349	0.624775
105.53	14.4758	1.81129	-0.876495	-0.392751	105.541	14.4412	105.447	14.5293	1.28111	-0.481861	1.88332
105.479	14.4813	1.86387	-0.765055	-0.26204	105.316	14.0026	105.447	14.5293	1.28111	-0.481861	0.77797
106.814	14.0279	1.36189	-0.303185	0.199077	106.831	14.0482	106.737	14.0724	1.37529	-0.457255	1.18767
106.772	14.004	1.52868	-0.298046	0.255228	106.439	14.2401	106.737	14.0724	1.37529	-0.457255	1.38292
108.078	13.6596	1.80722	-0.012684	0.273837	108.084	13.6604	108.122	13.644	1.47592	-0.423202	0.0427089
108.078	13.6609	1.69856	-0.0235196	0.255353	108.131	13.6844	108.122	13.644	1.47592	-0.423202	0.0854311
109.531	13.5742	1.9066	0.0758063	0.161988	109.534	13.5714	109.606	13.2536	1.58144	-0.378583	0.0473886
109.486	13.5676	1.64556	0.0571819	0.146036	109.388	13.1556	109.606	13.2536	1.58144	-0.378583	0.424097
111.057	12.6073	1.91168	-0.955245	-0.548209	111.063	12.5814	111.196	12.9118	1.69008	-0.322574	1.38622
111.144	12.6528	2.38314	-0.671181	-0.17009	111.426	12.9557	111.196	12.9118	1.69008	-0.322574	2.14818
112.903	12.4667	1.47825	-0.0611895	0.319648	112.913	12.4877	112.893	12.6299	1.7999	-0.254723	1.50684
112.914	12.447	1.77092	-0.0392403	0.348614	112.797	12.8241	112.893	12.6299	1.7999	-0.254723	0.45678
114.788	12.5482	2.46385	0.29105	0.335182	114.801	12.5506	114.699	12.4195	1.90891	-0.175007	0.294495
114.794	12.5538	2.111	0.301088	0.370886	114.916	12.3187	114.699	12.4195	1.90891	-0.175007	0.362191
116.679	12.1198	2.05617	-0.341589	-0.241607	116.687	12.1035	116.611	12.2921	2.01507	-0.0838683	1.09324
116.721	12.1321	2.33737	-0.268319	-0.153073	116.871	12.0659	116.611	12.2921	2.01507	-0.0838683	0.423066
118.94	11.9934	2.79116	0.0748552	0.164294	118.953	12.0009	118.628	12.2586	2.11648	0.0177712	0.482256
118.909	12.0002	2.40016	0.104623	0.182332	118.85	12.4063	118.628	12.2586	2.11648	0.0177712	0.419305
120.697	12.2926	2.2979	0.267025	0.169732	120.695	12.2918	120.743	12.3289	2.21139	0.128528	0.0081888
120.741	12.2968	2.34142	0.265829	0.16935	120.934	12.1905	120.743	12.3289	2.21139	0.128528	0.456057
123.542	12.8294	3.67435	0.0455263	-0.0774838	123.568	12.8297	122.95	12.5114	2.29835	0.246599	1.33225
123.442	12.81	2.76734	-0.0326552	-0.155569	123.142	12.7694	122.95	12.5114	2.29835	0.246599	2.47929
124.906	12.7719	2.04833	-0.100618	-0.100711	124.894	12.7743	125.242	12.8125	2.37624	0.369827	0.416739
125.012	12.784	2.69397	-0.0864968	-0.0676148	125.376	12.9964	125.242	12.8125	2.37624	0.369827	2.44603
127.835	13.3187	3.50595	0.457951	0.319341	127.853	13.3273	127.609	13.2365	2.44434	0.495787	0.927392
127.76	13.3194	3.06788	0.524513	0.423605	127.506	13.153	127.609	13.2365	2.44434	0.495787	1.26479
129.951	13.7118	2.20972	0.240313	-0.0251708	129.947	13.6963	130.042	13.7853	2.50232	0.621879	0.896719
